slim_id	slim_name	subsumed_id	subsumed_name	min_distance
DOID:0050156	idiopathic pulmonary fibrosis	DOID:0050156	idiopathic pulmonary fibrosis	0
DOID:0050425	restless legs syndrome	DOID:0050425	restless legs syndrome	0
DOID:0050741	alcohol dependence	DOID:0050741	alcohol dependence	0
DOID:0050742	nicotine dependence	DOID:0050742	nicotine dependence	0
DOID:0060073	lymphatic system cancer	DOID:0060073	lymphatic system cancer	0
DOID:0060073	lymphatic system cancer	DOID:0060219	lymph node adenoid cystic carcinoma	2
DOID:0060073	lymphatic system cancer	DOID:10619	lymph node cancer	1
DOID:0060073	lymphatic system cancer	DOID:12972	intrapelvic lymph node leukemic reticuloendotheliosis	2
DOID:0060073	lymphatic system cancer	DOID:13005	intra-abdominal lymph node mast cell malignancy	2
DOID:0060073	lymphatic system cancer	DOID:265	spleen angiosarcoma	2
DOID:0060073	lymphatic system cancer	DOID:2689	lymphangiosarcoma	1
DOID:0060073	lymphatic system cancer	DOID:4334	splenic manifestation of prolymphocytic leukemia	3
DOID:0060073	lymphatic system cancer	DOID:672	spleen cancer	1
DOID:0060073	lymphatic system cancer	DOID:709	splenic manifestation of hairy cell leukemia	3
DOID:0060073	lymphatic system cancer	DOID:710	splenic manifestation of leukemia	2
DOID:0060073	lymphatic system cancer	DOID:8304	lymph node palisaded myofibroblastoma	2
DOID:0060073	lymphatic system cancer	DOID:8538	reticulosarcoma	1
DOID:0060073	lymphatic system cancer	DOID:8675	lymphosarcoma	1
DOID:0060119	pharynx cancer	DOID:0050920	tonsil squamous cell carcinoma	3
DOID:0060119	pharynx cancer	DOID:0050921	pharynx squamous cell carcinoma	1
DOID:0060119	pharynx cancer	DOID:0060119	pharynx cancer	0
DOID:0060119	pharynx cancer	DOID:8533	hypopharynx cancer	1
DOID:0060119	pharynx cancer	DOID:8556	vallecula cancer	2
DOID:0060119	pharynx cancer	DOID:8557	oropharynx cancer	1
DOID:0060119	pharynx cancer	DOID:8660	postcricoid region cancer	2
DOID:0060119	pharynx cancer	DOID:8663	aryepiglottic fold cancer	2
DOID:0060119	pharynx cancer	DOID:8688	tonsillar pillar cancer	2
DOID:0060119	pharynx cancer	DOID:8858	tonsil cancer	2
DOID:0060119	pharynx cancer	DOID:8937	Waldeyer's ring cancer	2
DOID:0060119	pharynx cancer	DOID:8969	tonsillar fossa cancer	2
DOID:0060119	pharynx cancer	DOID:9235	pyriform sinus cancer	2
DOID:0060119	pharynx cancer	DOID:9261	nasopharynx carcinoma	1
DOID:10021	duodenum cancer	DOID:10020	ampulla of Vater cancer	1
DOID:10021	duodenum cancer	DOID:10021	duodenum cancer	0
DOID:10021	duodenum cancer	DOID:10816	duodenum adenocarcinoma	1
DOID:10021	duodenum cancer	DOID:3501	ampullary signet ring cell adenocarcinoma	4
DOID:10021	duodenum cancer	DOID:3502	ampulla of Vater adenocarcinoma	3
DOID:10021	duodenum cancer	DOID:3693	ampulla of Vater mucinous adenocarcinoma	4
DOID:10021	duodenum cancer	DOID:4932	ampulla of Vater carcinoma	2
DOID:10021	duodenum cancer	DOID:5308	ampulla of Vater clear cell adenocarcinoma	4
DOID:10021	duodenum cancer	DOID:5527	ampulla of Vater squamous cell carcinoma	3
DOID:10021	duodenum cancer	DOID:5628	ampulla of Vater adenosquamous carcinoma	3
DOID:10021	duodenum cancer	DOID:7136	ampulla of Vater small cell carcinoma	3
DOID:10021	duodenum cancer	DOID:7479	duodenal somatostatinoma	1
DOID:10021	duodenum cancer	DOID:7959	duodenal gastrinoma	1
DOID:10021	duodenum cancer	DOID:8110	periampullary adenocarcinoma	4
DOID:10153	ileum cancer	DOID:10152	Meckel's diverticulum cancer	1
DOID:10153	ileum cancer	DOID:10153	ileum cancer	0
DOID:1024	leprosy	DOID:1023	borderline leprosy	1
DOID:1024	leprosy	DOID:1024	leprosy	0
DOID:1024	leprosy	DOID:1025	tuberculoid leprosy	1
DOID:1024	leprosy	DOID:10887	lepromatous leprosy	1
DOID:1024	leprosy	DOID:11851	indeterminate leprosy	1
DOID:10283	prostate cancer	DOID:10283	prostate cancer	0
DOID:10283	prostate cancer	DOID:10286	prostate carcinoma	1
DOID:10283	prostate cancer	DOID:10287	prostate squamous cell carcinoma	2
DOID:10283	prostate cancer	DOID:10289	prostate malignant phyllodes tumor	1
DOID:10283	prostate cancer	DOID:10290	prostate lymphoma	1
DOID:10283	prostate cancer	DOID:2526	prostate adenocarcinoma	2
DOID:10283	prostate cancer	DOID:2992	prostate neuroendocrine neoplasm	1
DOID:10283	prostate cancer	DOID:3024	prostatic acinar adenocarcinoma	3
DOID:10283	prostate cancer	DOID:3251	prostate embryonal rhabdomyosarcoma	3
DOID:10283	prostate cancer	DOID:3252	prostate rhabdomyosarcoma	2
DOID:10283	prostate cancer	DOID:3504	prostate signet ring cell adenocarcinoma	3
DOID:10283	prostate cancer	DOID:3703	prostate colloid adenocarcinoma	3
DOID:10283	prostate cancer	DOID:4011	prostate transitional cell carcinoma	2
DOID:10283	prostate cancer	DOID:4054	prostate sarcoma	1
DOID:10283	prostate cancer	DOID:4524	prostate angiosarcoma	2
DOID:10283	prostate cancer	DOID:4868	prostate adenoid cystic carcinoma	2
DOID:10283	prostate cancer	DOID:5282	prostate leiomyosarcoma	2
DOID:10283	prostate cancer	DOID:5634	adenosquamous prostate carcinoma	2
