doid	name	type
DOID:9888	alternating esotropia	name
DOID:3389	Papillon-Lefevre disease	name
DOID:3389	Papillon Lefevre syndrome	exact-synonym
DOID:3389	Papillon Lefevre syndrome	exact-synonym
DOID:3389	Papillon-Lefvre syndrome (disorder)	exact-synonym
DOID:4467	renal clear cell carcinoma	name
DOID:4467	Clear cell carcinoma of kidney (disorder)	exact-synonym
DOID:4467	clear cell kidney carcinoma	exact-synonym
DOID:4467	Clear-cell metastatic renal cell carcinoma	related-synonym
DOID:4467	conventional (Clear cell) renal cell carcinoma	exact-synonym
DOID:4467	conventional renal cell carcinoma	exact-synonym
DOID:7958	sarcomatoid penile squamous cell carcinoma	name
DOID:7958	sarcomatous carcinoma of the penis	exact-synonym
DOID:11285	tick paralysis	name
DOID:11285	Tick paralysis	exact-synonym
DOID:11285	Tick paralysis (disorder)	exact-synonym
DOID:10600	chronic tic disorder	name
DOID:10600	chronic motor or vocal tic disorder	exact-synonym
DOID:4023	linitis plastica	name
DOID:4023	Leather-bottle stomach	exact-synonym
DOID:4023	Linitis plastica (morphologic abnormality)	exact-synonym
DOID:10595	Charcot-Marie-Tooth disease	name
DOID:10595	Charcot Marie Tooth muscular atrophy	exact-synonym
DOID:10595	CMT - Charcot-Marie-Tooth disease	exact-synonym
DOID:10595	Peroneal muscular atrophy	exact-synonym
DOID:0060300	complement component 7 deficiency	name
DOID:0050650	familial atrial fibrillation	name
DOID:0050650	ATFB	exact-synonym
DOID:5169	ovarian endometrioid stromal sarcoma	name
DOID:2679	dysembryoplastic neuroepithelial tumor	name
DOID:2679	Dysembryoplastic Neuroepithelial neoplasm	exact-synonym
DOID:2679	Dysembryoplastic neuroepithelial tumor (morphologic abnormality)	exact-synonym
DOID:13222	submucous uterine fibroid	name
DOID:13222	Submucous leiomyoma of uterus	exact-synonym
DOID:13222	Submucous leiomyoma of uterus (disorder)	exact-synonym
DOID:11839	glans penis cancer	name
DOID:11839	malignant neoplasm of glans penis	exact-synonym
DOID:11839	malignant tumor of glans penis (disorder)	exact-synonym
DOID:11839	malignant tumour of glans penis	exact-synonym
DOID:0060294	cold-induced sweating syndrome	name
DOID:0060294	Crisponi syndrome	exact-synonym
DOID:0060294	Sohar-Crisponi syndrome	exact-synonym
DOID:4685	lacrimal gland mucoepidermoid carcinoma	name
DOID:4685	Mucoepidermoid carcinoma of the lacrimal gland	exact-synonym
DOID:0060306	Meier-Gorlin syndrome	name
DOID:0060306	ear-patella-short stature syndrome	exact-synonym
DOID:5161	Monckeberg arteriosclerosis	name
DOID:14308	skin epithelioid hemangioma	name
DOID:14308	Angiolymphoid Cutaneous hyperplasia	exact-synonym
DOID:14308	epithelioid hemangioma of skin (disorder)	exact-synonym
DOID:14308	epithelioid hemangioma of skin (disorder)	exact-synonym
DOID:13662	ulcer of anus and rectum	name
DOID:13662	anal and rectal ulcer NOS (disorder)	exact-synonym
DOID:2228	thrombocytosis	name
DOID:2228	Platelet count above reference range	exact-synonym
DOID:2228	Thrombocythaemia	exact-synonym
DOID:2228	THROMBOCYTHEMIA	exact-synonym
DOID:8230	intrahepatic biliary papillomatosis	name
DOID:0060296	congenital secretory chloride diarrhea 1	name
DOID:0060296	congenital chloride diarrhea finnish type	exact-synonym
DOID:0060296	congenital chloridorrhea	exact-synonym
DOID:5165	uterine corpus sarcoma	name
DOID:5165	sarcoma of Corpus Uteri	exact-synonym
DOID:5165	sarcoma of uterus (disorder)	exact-synonym
DOID:204	enthesopathy	name
DOID:13223	uterine fibroid	name
DOID:13223	leiomyoma of Corpus Uteri	exact-synonym
DOID:13223	Plexiform leiomyoma	exact-synonym
DOID:13223	uterine leiomyoma	exact-synonym
DOID:13223	UTERUS FIBROMA	exact-synonym
DOID:10892	hypospadias	name
DOID:10892	familial hypospadias	exact-synonym
DOID:899	choledochal cyst	name
DOID:899	Congenital choledochal cyst	exact-synonym
DOID:899	Congenital choledochal cyst (disorder)	exact-synonym
DOID:899	Congenital choledochal cyst (disorder)	exact-synonym
DOID:0060298	complement component 4b deficiency	name
DOID:2043	hepatitis B	name
DOID:2043	chronic hepatitis B	exact-synonym
DOID:2043	hepatitis B infection	exact-synonym
DOID:2043	Serum hepatitis	related-synonym
DOID:5166	endometrial stromal tumor	name
DOID:5166	endometrial Stromal neoplasm	exact-synonym
DOID:5166	endometrial stromal tumor (morphologic abnormality)	exact-synonym
DOID:606	Brown-Sequard syndrome	name
DOID:606	Brown-Squard syndrome (disorder)	exact-synonym
DOID:0050723	PSAT deficiency	name
DOID:0050723	Phosphoserine aminotransferase deficiency	exact-synonym
DOID:0050649	atransferrinemia	name
DOID:0050649	familial hypotransferrinemia	exact-synonym
DOID:8857	lupus erythematosus	name
DOID:8857	lupus	exact-synonym
DOID:8857	Lupus Erythematosus	exact-synonym
DOID:8857	Lupus erythematosus (disorder)	exact-synonym
DOID:8857	Lupus erythematosus NOS (disorder)	exact-synonym
DOID:9442	cervical mullerian papilloma	name
DOID:13756	epiphora due to insufficient drainage	name
