doid_code	doid_name	resource	resource_id
DOID:2531	hematologic cancer	CSP	2004-1600
DOID:2531	hematologic cancer	CSP	2004-1803
DOID:2531	hematologic cancer	CSP	2004-2820
DOID:2531	hematologic cancer	EFO	0000095
DOID:2531	hematologic cancer	EFO	0000096
DOID:2531	hematologic cancer	EFO	0000183
DOID:2531	hematologic cancer	EFO	0000200
DOID:2531	hematologic cancer	EFO	0000220
DOID:2531	hematologic cancer	EFO	0000339
DOID:2531	hematologic cancer	EFO	0001378
DOID:2531	hematologic cancer	EFO	0004251
DOID:2531	hematologic cancer	ICD10	D46
DOID:2531	hematologic cancer	ICD10CM	C81
DOID:2531	hematologic cancer	ICD10CM	C83.7
DOID:2531	hematologic cancer	ICD10CM	C88.0
DOID:2531	hematologic cancer	ICD10CM	C91.0
DOID:2531	hematologic cancer	ICD10CM	C91.1
DOID:2531	hematologic cancer	ICD10CM	C92.4
DOID:2531	hematologic cancer	ICD10CM	D47.3
DOID:2531	hematologic cancer	ICD9	238.7
DOID:2531	hematologic cancer	ICD9CM	200.2
DOID:2531	hematologic cancer	ICD9CM	201
DOID:2531	hematologic cancer	ICD9CM	201.0
DOID:2531	hematologic cancer	ICD9CM	201.1
DOID:2531	hematologic cancer	ICD9CM	201.2
DOID:2531	hematologic cancer	ICD9CM	201.4
DOID:2531	hematologic cancer	ICD9CM	201.5
DOID:2531	hematologic cancer	ICD9CM	201.6
DOID:2531	hematologic cancer	ICD9CM	201.7
DOID:2531	hematologic cancer	ICD9CM	201.9
DOID:2531	hematologic cancer	ICD9CM	202.1
DOID:2531	hematologic cancer	ICD9CM	202.2
DOID:2531	hematologic cancer	ICD9CM	202.4
DOID:2531	hematologic cancer	ICD9CM	202.46
DOID:2531	hematologic cancer	ICD9CM	202.47
DOID:2531	hematologic cancer	ICD9CM	203.0
DOID:2531	hematologic cancer	ICD9CM	203.1
DOID:2531	hematologic cancer	ICD9CM	204
DOID:2531	hematologic cancer	ICD9CM	204.0
DOID:2531	hematologic cancer	ICD9CM	204.2
DOID:2531	hematologic cancer	ICD9CM	204.9
DOID:2531	hematologic cancer	ICD9CM	205
DOID:2531	hematologic cancer	ICD9CM	205.0
DOID:2531	hematologic cancer	ICD9CM	205.1
DOID:2531	hematologic cancer	ICD9CM	205.3
DOID:2531	hematologic cancer	ICD9CM	205.9
DOID:2531	hematologic cancer	ICD9CM	206.0
DOID:2531	hematologic cancer	ICD9CM	206.1
DOID:2531	hematologic cancer	ICD9CM	206.2
DOID:2531	hematologic cancer	ICD9CM	206.8
DOID:2531	hematologic cancer	ICD9CM	207.1
DOID:2531	hematologic cancer	ICD9CM	207.2
DOID:2531	hematologic cancer	ICD9CM	208
DOID:2531	hematologic cancer	ICD9CM	208.0
DOID:2531	hematologic cancer	ICD9CM	208.2
DOID:2531	hematologic cancer	ICD9CM	208.9
DOID:2531	hematologic cancer	ICD9CM	238.71
DOID:2531	hematologic cancer	ICD9CM	238.76
DOID:2531	hematologic cancer	ICD9CM	273.3
DOID:2531	hematologic cancer	ICD9CM	288.62
DOID:2531	hematologic cancer	KEGG	05220
DOID:2531	hematologic cancer	KEGG	05221
DOID:2531	hematologic cancer	MSH	C535671
DOID:2531	hematologic cancer	MSH	D000750
DOID:2531	hematologic cancer	MSH	D002051
DOID:2531	hematologic cancer	MSH	D006689
DOID:2531	hematologic cancer	MSH	D007938
DOID:2531	hematologic cancer	MSH	D007943
DOID:2531	hematologic cancer	MSH	D007945
DOID:2531	hematologic cancer	MSH	D007946
DOID:2531	hematologic cancer	MSH	D007947
DOID:2531	hematologic cancer	MSH	D007948
DOID:2531	hematologic cancer	MSH	D007951
DOID:2531	hematologic cancer	MSH	D007952
DOID:2531	hematologic cancer	MSH	D007955
DOID:2531	hematologic cancer	MSH	D008223
DOID:2531	hematologic cancer	MSH	D008258
DOID:2531	hematologic cancer	MSH	D009101
DOID:2531	hematologic cancer	MSH	D009182
DOID:2531	hematologic cancer	MSH	D009190
DOID:2531	hematologic cancer	MSH	D009196
DOID:2531	hematologic cancer	MSH	D010265
DOID:2531	hematologic cancer	MSH	D010954
DOID:2531	hematologic cancer	MSH	D012751
DOID:2531	hematologic cancer	MSH	D013920
DOID:2531	hematologic cancer	MSH	D013922
DOID:2531	hematologic cancer	MSH	D015451
DOID:2531	hematologic cancer	MSH	D015456
DOID:2531	hematologic cancer	MSH	D015458
DOID:2531	hematologic cancer	MSH	D015459
DOID:2531	hematologic cancer	MSH	D015463
DOID:2531	hematologic cancer	MSH	D015464
DOID:2531	hematologic cancer	MSH	D015470
DOID:2531	hematologic cancer	MSH	D015473
DOID:2531	hematologic cancer	MSH	D019337
DOID:2531	hematologic cancer	MSH	D023981
DOID:2531	hematologic cancer	MSH	D034721
DOID:2531	hematologic cancer	MSH	D034801
DOID:2531	hematologic cancer	MSH	D054198
DOID:2531	hematologic cancer	MSH	D054429
DOID:2531	hematologic cancer	MSH	D054437
DOID:2531	hematologic cancer	MSH	D054739
DOID:2531	hematologic cancer	MSH	D054740
DOID:2531	hematologic cancer	MSH	D054752
DOID:2531	hematologic cancer	MSH	D055728
DOID:2531	hematologic cancer	MSH	D058617
DOID:2531	hematologic cancer	NCI	C26956
DOID:2531	hematologic cancer	NCI	C27134
DOID:2531	hematologic cancer	NCI	C27260
DOID:2531	hematologic cancer	NCI	C27262
DOID:2531	hematologic cancer	NCI	C27357
DOID:2531	hematologic cancer	NCI	C27753
DOID:2531	hematologic cancer	NCI	C27907
DOID:2531	hematologic cancer	NCI	C27910
DOID:2531	hematologic cancer	NCI	C27911
DOID:2531	hematologic cancer	NCI	C2862
DOID:2531	hematologic cancer	NCI	C2912
DOID:2531	hematologic cancer	NCI	C3161
DOID:2531	hematologic cancer	NCI	C3167
DOID:2531	hematologic cancer	NCI	C3169
DOID:2531	hematologic cancer	NCI	C3170
DOID:2531	hematologic cancer	NCI	C3171
DOID:2531	hematologic cancer	NCI	C3172
DOID:2531	hematologic cancer	NCI	C3174
DOID:2531	hematologic cancer	NCI	C3180
DOID:2531	hematologic cancer	NCI	C3181
DOID:2531	hematologic cancer	NCI	C3182
DOID:2531	hematologic cancer	NCI	C3184
DOID:2531	hematologic cancer	NCI	C3185
DOID:2531	hematologic cancer	NCI	C3208
DOID:2531	hematologic cancer	NCI	C3242
DOID:2531	hematologic cancer	NCI	C3246
DOID:2531	hematologic cancer	NCI	C3366
DOID:2531	hematologic cancer	NCI	C3407
DOID:2531	hematologic cancer	NCI	C34774
DOID:2531	hematologic cancer	NCI	C3517
DOID:2531	hematologic cancer	NCI	C3518
DOID:2531	hematologic cancer	NCI	C3520
DOID:2531	hematologic cancer	NCI	C35424
DOID:2531	hematologic cancer	NCI	C35530
DOID:2531	hematologic cancer	NCI	C35815
DOID:2531	hematologic cancer	NCI	C36218
DOID:2531	hematologic cancer	NCI	C37201
DOID:2531	hematologic cancer	NCI	C37204
DOID:2531	hematologic cancer	NCI	C37869
DOID:2531	hematologic cancer	NCI	C37870
DOID:2531	hematologic cancer	NCI	C3845
DOID:2531	hematologic cancer	NCI	C38661
DOID:2531	hematologic cancer	NCI	C4002
DOID:2531	hematologic cancer	NCI	C41237
DOID:2531	hematologic cancer	NCI	C4345
DOID:2531	hematologic cancer	NCI	C4665
DOID:2531	hematologic cancer	NCI	C4673
DOID:2531	hematologic cancer	NCI	C4734
DOID:2531	hematologic cancer	NCI	C4967
DOID:2531	hematologic cancer	NCI	C4982
DOID:2531	hematologic cancer	NCI	C4983
DOID:2531	hematologic cancer	NCI	C4989
DOID:2531	hematologic cancer	NCI	C5165
DOID:2531	hematologic cancer	NCI	C5630
DOID:2531	hematologic cancer	NCI	C5640
DOID:2531	hematologic cancer	NCI	C6711
DOID:2531	hematologic cancer	NCI	C6913
DOID:2531	hematologic cancer	NCI	C6914
DOID:2531	hematologic cancer	NCI	C6921
DOID:2531	hematologic cancer	NCI	C6932
DOID:2531	hematologic cancer	NCI	C7024
DOID:2531	hematologic cancer	NCI	C7055
DOID:2531	hematologic cancer	NCI	C7066
DOID:2531	hematologic cancer	NCI	C7136
DOID:2531	hematologic cancer	NCI	C7150
DOID:2531	hematologic cancer	NCI	C7184
DOID:2531	hematologic cancer	NCI	C7297
DOID:2531	hematologic cancer	NCI	C7301
DOID:2531	hematologic cancer	NCI	C7318
DOID:2531	hematologic cancer	NCI	C7400
DOID:2531	hematologic cancer	NCI	C7401
DOID:2531	hematologic cancer	NCI	C7402
DOID:2531	hematologic cancer	NCI	C7539
DOID:2531	hematologic cancer	NCI	C7587
DOID:2531	hematologic cancer	NCI	C7765
DOID:2531	hematologic cancer	NCI	C7812
DOID:2531	hematologic cancer	NCI	C7813
DOID:2531	hematologic cancer	NCI	C8030
DOID:2531	hematologic cancer	NCI	C8647
DOID:2531	hematologic cancer	NCI	C8696
DOID:2531	hematologic cancer	NCI	C8936
DOID:2531	hematologic cancer	NCI	C9142
DOID:2531	hematologic cancer	NCI	C9281
DOID:2531	hematologic cancer	NCI	C9282
DOID:2531	hematologic cancer	NCI	C9283
DOID:2531	hematologic cancer	NCI	C9286
DOID:2531	hematologic cancer	NCI	C9294
DOID:2531	hematologic cancer	NCI	C9295
DOID:2531	hematologic cancer	NCI	C9300
DOID:2531	hematologic cancer	NCI	C9349
DOID:2531	hematologic cancer	NCI	C9357
DOID:2531	hematologic cancer	NCI2009_04D	C9298
DOID:2531	hematologic cancer	OMIM	109543
