N0000171648	C0032046	M0016938	D010923	Placenta Previa
N0000001860	C0023885	M0012633	D008100	Liver Abscess
N0000000768	C0008445	M0004308	D002806	Chondrodysplasia Punctata
N0000000340	C0001818	M0000579	D000379	Agoraphobia
N0000000395	C0002891	M0001136	D000751	Anemia, Neonatal
N0000003197	C0033375	M0023326	D015175	Prolactinoma
N0000181141	C0398689	M0492429	D053307	Hyper-IgM Immunodeficiency Syndrome, Type 1
N0000004014	C0268542	M0328321	D020163	Ornithine Carbamoyltransferase Deficiency Disease
N0000001693	C0021670	M0011444	D007340	Insulinoma
N0000004095	C0751873	M0328372	D020278	Demyelinating Autoimmune Diseases, CNS
N0000004058	C0338575	M0328287	D020225	Sagittal Sinus Thrombosis
N0000002686	C0276926	M0019482	D012553	Schistosomiasis haematobia
N0000002087	C0027066	M0014345	D009207	Myoclonus
N0000003581	C0162824	M0026485	D017454	Dermatitis, Photoallergic
N0000000571	C0005747	M0002660	D001764	Blepharospasm
N0000000403	C0002940	M0001174	D000783	Aneurysm
N0000002729	C0036980	M0019783	D012770	Shock, Cardiogenic
N0000003993	C0263859	M0029804	D020083	Acquired Hyperostosis Syndrome
N0000002979	C0040445	M0021686	D014086	Tooth Mobility
N0000004139	C0748226	M0328281	D020425	Radial Neuropathy
N0000000800	C0009186	M0004676	D003047	Coccidioidomycosis
N0000000951	C0011853	M0006150	D003921	Diabetes Mellitus, Experimental
N0000003937	C0278152	M0029059	D019569	Hemifacial Spasm
N0000181297	C2717957	M0533727	D056987	Vasoplegia
N0000001271	C0679360	M0008693	D005517	Foodborne Diseases
N0000003020	C0041105	M0022018	D014313	Trismus
N0000002149	C0027707	M0014628	D009395	Nephritis, Interstitial
N0000001879	C0024115	M0012744	D008171	Lung Diseases
N0000000844	C0009938	M0005130	D003288	Contusions
N0000002452	C0032460	M0017165	D011085	Polycystic Ovary Syndrome
N0000011072	C0917990	M0393325	D030981	Acro-Osteolysis
N0000002226	C0029124	M0015352	D009896	Optic Atrophy
N0000010982	C1285261	M0460578	D048070	Fetal Nutrition Disorders
N0000001222	C0015765	M0008298	D005254	Feline Panleukopenia
N0000181192	C1096155	M0518045	D055501	Macrophage Activation Syndrome
N0000002512	C0033774	M0017935	D011537	Pruritus
N0000003464	C0085270	M0025469	D016727	Orbital Pseudotumor
N0000003082	C0042035	M0022377	D014555	Urination Disorders
N0000002499	C2937421	M0017830	D011470	Prostatic Hyperplasia
N0000002617	C0035352	M0018969	D012181	Retrocochlear Diseases
N0000002191	C0028309	M0014952	D009631	Nonodontogenic Cysts
N0000010934	C0949691	M0374011	D025242	Spondylarthropathies
N0000002097	C0027126	M0014372	D009223	Myotonic Dystrophy
N0000001459	C0018939	M0010044	D006402	Hematologic Diseases
N0000001750	C0022661	M0012016	D007676	Kidney Failure, Chronic
N0000002138	C0027664	M0014603	D009379	Neoplasms, Muscle Tissue
N0000000446	C0003509	M0001559	D001025	Aortitis
N0000002437	C1535939	M0017073	D011020	Pneumonia, Pneumocystis
N0000004004	C0600503	M0029880	D020147	Coagulation Protein Disorders
N0000001580	C0020443	M0010818	D006937	Hypercholesterolemia
N0000181158	C0520799	M0505750	D054508	Acute Radiation Syndrome
N0000003389	C0078911	M0024856	D016263	AIDS-Associated Nephropathy
N0000183448	C3179021	M0556398	D060845	Obsessive Hoarding
