NCI:C26714	UMLS:C0007570
NCI:C3371	UMLS:C0037274
NCI:C34446	UMLS:C0006895
NCI:C3894	UMLS:C1510472
NCI:C45230	UMLS:C1709159
NCI:C62578	UMLS:C0343084
NCI:C84607	UMLS:C0006666
NCI:C84610	UMLS:C0011989
NCI:C26786	UMLS:C0018050
NCI:C26886	UMLS:C0038354
NCI:C3453	UMLS:C0043515
NCI:C34625	UMLS:C0016724
NCI:C34633	UMLS:C0017183
NCI:C34651	UMLS:C0018179
NCI:C34752	UMLS:C0022735
NCI:C34786	UMLS:C0023976
NCI:C35189	UMLS:C0154552
NCI:C35255	UMLS:C0175701
NCI:C3909	UMLS:C0262493
NCI:C3948	UMLS:C0266919
NCI:C3954	UMLS:C0236048
NCI:C4367	UMLS:C0339814
NCI:C4693	UMLS:C0399441
NCI:C8372	UMLS:C0334092
NCI:C84717	UMLS:C0016667
NCI:C84729	UMLS:C0017551
NCI:C84730	UMLS:C0268450
NCI:C84740	UMLS:C0265240
NCI:C84741	UMLS:C0272302
NCI:C92202	UMLS:C0236989
NCI:C92622	UMLS:C0270549
NCI:C94354	UMLS:C0016738
NCI:C94362	UMLS:C0017250
NCI:C98931	UMLS:C0265224
NCI:C98932	UMLS:C0220730
NCI:C101038	UMLS:C1854678
NCI:C27648	UMLS:C0558385
NCI:C3154	UMLS:C0022951
NCI:C3155	UMLS:C0022972
NCI:C34760	UMLS:C0023138
NCI:C34773	UMLS:C0023370
NCI:C35301	UMLS:C0242459
NCI:C40426	UMLS:C1302836
NCI:C4350	UMLS:C0338430
NCI:C60825	UMLS:C1881406
NCI:C61255	UMLS:C0023374
NCI:C75006	UMLS:C2697932
NCI:C75119	UMLS:C2697933
NCI:C75479	UMLS:C0162809
NCI:C75480	UMLS:C1563719
NCI:C84797	UMLS:C0022521
NCI:C84798	UMLS:C0022541
NCI:C84800	UMLS:C0206085
NCI:C84801	UMLS:C0022739
NCI:C84802	UMLS:C0270707
NCI:C84803	UMLS:C1622892
NCI:C84806	UMLS:C0282512
NCI:C84807	UMLS:C0043019
NCI:C84820	UMLS:C0175704
NCI:C84827	UMLS:C0221043
NCI:C94333	UMLS:C0022734
NCI:C98967	UMLS:C0022738
NCI:C27042	UMLS:C0263978
NCI:C27560	UMLS:C0035220
NCI:C27647	UMLS:C1334924
NCI:C3256	UMLS:C0027430
NCI:C35214	UMLS:C0156227
NCI:C35215	UMLS:C0156228
NCI:C35216	UMLS:C0156229
NCI:C35528	UMLS:C1956097
NCI:C35533	UMLS:C0866108
NCI:C35534	UMLS:C0866110
NCI:C35535	UMLS:C0866111
NCI:C35536	UMLS:C0866112
NCI:C35537	UMLS:C0866113
NCI:C35540	UMLS:C1704321
NCI:C36029	UMLS:C1300818
NCI:C3845	UMLS:C0235813
NCI:C3989	UMLS:C0271844
NCI:C4461	UMLS:C0345982
NCI:C4692	UMLS:C0398791
NCI:C50666	UMLS:C1705254
NCI:C50667	UMLS:C1709158
NCI:C61243	UMLS:C1882075
NCI:C61262	UMLS:C0026706
NCI:C65157	UMLS:C0677041
NCI:C74999	UMLS:C1856113
NCI:C75120	UMLS:C0027341
NCI:C7698	UMLS:C0028047
NCI:C84446	UMLS:C0027613
NCI:C84489	UMLS:C0027404
NCI:C84897	UMLS:C0086647
NCI:C84898	UMLS:C0086648
NCI:C84899	UMLS:C0086649
NCI:C84900	UMLS:C0086650
NCI:C84901	UMLS:C0086651
NCI:C84902	UMLS:C0086652
