N0000000004: UMLS:C1373233|
N0000000006: UMLS:C2916796|
N0000000007: UMLS:C0009450|
N0000000260: UMLS:C0000727|MESH:D000006|
N0000000261: UMLS:C0848377|MESH:D000007|
N0000000262: UMLS:C0000735|MESH:D000008|
N0000000263: UMLS:C0000744|MESH:D000012|
N0000000264: UMLS:C0000768|MESH:D000013|
N0000000265: UMLS:C0000771|MESH:D000014|
N0000000266: UMLS:C0000772|MESH:D000015|
N0000000267: UMLS:C0000773|MESH:D000016|
N0000000268: UMLS:C0000786|MESH:D000022|
N0000000269: UMLS:C0000809|MESH:D000026|
N0000000270: UMLS:C0000810|MESH:D000027|
N0000000271: UMLS:C0000814|MESH:D000030|
N0000000272: UMLS:C0000817|MESH:D000031|
N0000000273: UMLS:C0000821|MESH:D000033|
N0000000274: UMLS:C0000823|MESH:D000034|
N0000000275: UMLS:C0000832|MESH:D000037|
N0000000276: UMLS:C0000833|MESH:D000038|
N0000000277: UMLS:C0031157|MESH:D000039|
N0000000278: UMLS:C0000887|MESH:D000051|
N0000000279: UMLS:C0000889|MESH:D000052|
N0000000280: UMLS:C0001075|MESH:D000126|
N0000000281: UMLS:C0001080|MESH:D000130|
N0000000282: UMLS:C0001118|MESH:D000137|
N0000000283: UMLS:C0001122|MESH:D000138|
N0000000284: UMLS:C0001125|MESH:D000140|
N0000000285: UMLS:C0001126|MESH:D000141|
N0000000286: UMLS:C0001127|MESH:D000142|
N0000000287: UMLS:C0001139|MESH:D000151|
N0000000288: UMLS:C0001144|MESH:D000152|
N0000000289: UMLS:C0001145|MESH:D000153|
N0000000290: UMLS:C0001163|MESH:D000160|
N0000000291: UMLS:C0001175|MESH:D000163|
N0000000292: UMLS:C1510455|MESH:D000168|
N0000000293: UMLS:C0001197|MESH:D000169|
N0000000294: UMLS:C0001198|MESH:D000170|
N0000000295: UMLS:C0001206|MESH:D000172|
N0000000296: UMLS:C0001231|MESH:D000182|
N0000000297: UMLS:C0001247|MESH:D000187|
N0000000298: UMLS:C0001249|MESH:D000189|
N0000000299: UMLS:C0001255|MESH:D000193|
N0000000300: UMLS:C0001261|MESH:D000196|
N0000000301: UMLS:C0001264|MESH:D000197|
N0000000302: UMLS:C0001314|MESH:D000208|
N0000000303: UMLS:C0001349|MESH:D000210|
N0000000304: UMLS:C0001396|MESH:D000219|
N0000000305: UMLS:C0001403|MESH:D000224|
N0000000306: UMLS:C0001418|MESH:D000230|
N0000000307: UMLS:C0001420|MESH:D000231|
N0000000308: UMLS:C0001422|MESH:D000232|
N0000000309: UMLS:C0001429|MESH:D000235|
N0000000310: UMLS:C0001430|MESH:D000236|
N0000000311: UMLS:C0001431|MESH:D000237|
N0000000312: UMLS:C0001432|MESH:D000238|
N0000000313: UMLS:C0001433|MESH:D000239|
N0000000314: UMLS:C0001486|MESH:D000257|
N0000000315: UMLS:C0001487|MESH:D000258|
N0000000316: UMLS:C0001511|MESH:D000267|
N0000000317: UMLS:C0001519|MESH:D000270|
N0000000318: UMLS:C0001529|MESH:D000274|
N0000000319: UMLS:C0001546|MESH:D000275|
N0000000320: UMLS:C0001576|MESH:D000291|
N0000000322: UMLS:C0001614|MESH:D000303|
N0000000323: UMLS:C0001618|MESH:D000306|
N0000000324: UMLS:C0001621|MESH:D000307|
N0000000325: UMLS:C0001622|MESH:D000308|
