id: DOID:0050120	xref: OMIM:267700
id: DOID:0050125	xref: OMIM:614371
id: DOID:0050144	xref: OMIM:244400
id: DOID:0050156	xref: OMIM:178500
id: DOID:0050328	xref: OMIM:218700
id: DOID:0050331	xref: OMIM:149730
id: DOID:0050332	xref: OMIM:600791
id: DOID:0050387	xref: OMIM:144700
id: DOID:0050419	xref: OMIM:610984
id: DOID:0050424	xref: OMIM:175100
id: DOID:0050425	xref: OMIM:102300
id: DOID:0050427	xref: OMIM:278700
id: DOID:0050428	xref: OMIM:600962
id: DOID:0050429	xref: OMIM:169600
id: DOID:0050430	xref: OMIM:171400
id: DOID:0050431	xref: OMIM:107970
id: DOID:0050432	xref: OMIM:300494
id: DOID:0050433	xref: OMIM:600072
id: DOID:0050434	xref: OMIM:170390
id: DOID:0050436	xref: OMIM:253250
id: DOID:0050437	xref: OMIM:300257
id: DOID:0050438	xref: OMIM:136680
id: DOID:0050439	xref: OMIM:276900
id: DOID:0050440	xref: OMIM:151660
id: DOID:0050441	xref: OMIM:272200
id: DOID:0050444	xref: OMIM:266510
id: DOID:0050445	xref: OMIM:193100
id: DOID:0050448	xref: OMIM:193900
id: DOID:0050449	xref: OMIM:167200
id: DOID:0050450	xref: OMIM:263800
id: DOID:0050451	xref: OMIM:601144
id: DOID:0050452	xref: OMIM:610377
id: DOID:0050453	xref: OMIM:257320
id: DOID:0050454	xref: OMIM:300049
id: DOID:0050457	xref: OMIM:305700
id: DOID:0050458	xref: OMIM:607785
id: DOID:0050460	xref: OMIM:194190
id: DOID:0050461	xref: OMIM:208400
id: DOID:0050462	xref: OMIM:201750
id: DOID:0050463	xref: OMIM:114290
id: DOID:0050464	xref: OMIM:228000
id: DOID:0050465	xref: OMIM:158320
id: DOID:0050466	xref: OMIM:608967
id: DOID:0050467	xref: OMIM:133200
id: DOID:0050468	xref: OMIM:153300
id: DOID:0050469	xref: OMIM:218040
id: DOID:0050470	xref: OMIM:246200
id: DOID:0050471	xref: OMIM:160980
id: DOID:0050472	xref: OMIM:158000
id: DOID:0050473	xref: OMIM:203800
id: DOID:0050474	xref: OMIM:256500
id: DOID:0050475	xref: OMIM:277600
id: DOID:0050476	xref: OMIM:302060
id: DOID:0050477	xref: OMIM:177200
id: DOID:0050489	xref: OMIM:138800
id: DOID:0050524	xref: OMIM:125850
id: DOID:0050527	xref: OMIM:145750
id: DOID:0050528	xref: OMIM:234050
id: DOID:0050529	xref: OMIM:271150
id: DOID:0050530	xref: OMIM:253550
id: DOID:0050534	xref: OMIM:163500
id: DOID:0050535	xref: OMIM:133780
id: DOID:0050536	xref: OMIM:269000
id: DOID:0050537	xref: OMIM:116600
id: DOID:0050538	xref: OMIM:118200
id: DOID:0050539	xref: OMIM:118210
id: DOID:0050540	xref: OMIM:145900
id: DOID:0050541	xref: OMIM:145900
id: DOID:0050542	xref: OMIM:300905
id: DOID:0050543	xref: OMIM:606482
id: DOID:0050544	xref: OMIM:613752
id: DOID:0050545	xref: OMIM:306955
id: DOID:0050546	xref: OMIM:613743
id: DOID:0050547	xref: OMIM:155240
id: DOID:0050547	xref: OMIM:155240
id: DOID:0050548	xref: OMIM:162400
id: DOID:0050549	xref: OMIM:263530
id: DOID:0050552	xref: OMIM:190351
id: DOID:0050553	xref: OMIM:613732
id: DOID:0050554	xref: OMIM:301310
id: DOID:0050556	xref: OMIM:271245
id: DOID:0050557	xref: OMIM:253900
id: DOID:0050558	xref: OMIM:254090
id: DOID:0050559	xref: OMIM:253800
id: DOID:0050560	xref: OMIM:236670
id: DOID:0050561	xref: OMIM:606369
id: DOID:0050564	xref: OMIM:124900
id: DOID:0050565	xref: OMIM:220290
id: DOID:0050566	xref: OMIM:304400
id: DOID:0050567	xref: OMIM:119530
id: DOID:0050568	xref: OMIM:122600
id: DOID:0050569	xref: OMIM:210600
id: DOID:0050570	xref: OMIM:212065
id: DOID:0050571	xref: OMIM:212066
id: DOID:0050572	xref: OMIM:120970
id: DOID:0050574	xref: OMIM:236792
id: DOID:0050575	xref: OMIM:600721
id: DOID:0050576	xref: OMIM:266900
id: DOID:0050577	xref: OMIM:218330
id: DOID:0050578	xref: OMIM:613587
id: DOID:0050579	xref: OMIM:613507
id: DOID:0050580	xref: OMIM:153100
id: DOID:0050581	xref: OMIM:112440
id: DOID:0050582	xref: OMIM:158590
id: DOID:0050585	xref: OMIM:269700
id: DOID:0050587	xref: OMIM:613229
id: DOID:0050588	xref: OMIM:613150
id: DOID:0050589	xref: OMIM:266600
id: DOID:0050590	xref: OMIM:202700
id: DOID:0050591	xref: OMIM:106600
id: DOID:0050592	xref: OMIM:208500
id: DOID:0050593	xref: OMIM:613085
id: DOID:0050594	xref: OMIM:261750
id: DOID:0050597	xref: OMIM:181460
id: DOID:0050600	xref: OMIM:600501
id: DOID:0050601	xref: OMIM:103285
id: DOID:0050602	xref: OMIM:231550
id: DOID:0050603	xref: OMIM:200500
id: DOID:0050604	xref: OMIM:607778
id: DOID:0050605	xref: OMIM:201100
id: DOID:0050606	xref: OMIM:101900
id: DOID:0050628	xref: OMIM:604348
id: DOID:0050629	xref: OMIM:225750
id: DOID:0050630	xref: OMIM:300600
id: DOID:0050631	xref: OMIM:300523
id: DOID:0050632	xref: OMIM:203100
id: DOID:0050633	xref: OMIM:300500
id: DOID:0050634	xref: OMIM:203655
id: DOID:0050635	xref: OMIM:104290
id: DOID:0050636	xref: OMIM:105200
id: DOID:0050637	xref: OMIM:105120
id: DOID:0050638	xref: OMIM:105210
id: DOID:0050639	xref: OMIM:105250
id: DOID:0050640	xref: OMIM:607095
id: DOID:0050641	xref: OMIM:268150
id: DOID:0050642	xref: OMIM:206100
id: DOID:0050643	xref: OMIM:206800
id: DOID:0050644	xref: OMIM:208000
id: DOID:0050645	xref: OMIM:208050
id: DOID:0050646	xref: OMIM:108120
id: DOID:0050647	xref: OMIM:301835
id: DOID:0050648	xref: OMIM:108720
id: DOID:0050649	xref: OMIM:209300
id: DOID:0050650	xref: OMIM:607554
id: DOID:0050651	xref: OMIM:600309
id: DOID:0050654	xref: OMIM:218600
id: DOID:0050655	xref: OMIM:241850
id: DOID:0050656	xref: OMIM:251290
id: DOID:0050657	xref: OMIM:153480
id: DOID:0050658	xref: OMIM:149200
id: DOID:0050659	xref: OMIM:607483
id: DOID:0050660	xref: OMIM:123790
id: DOID:0050661	xref: OMIM:153700
id: DOID:0050662	xref: OMIM:611809
id: DOID:0050663	xref: OMIM:158810
id: DOID:0050664	xref: OMIM:210370
id: DOID:0050674	xref: OMIM:214950
id: DOID:0050675	xref: OMIM:612292
id: DOID:0050676	xref: OMIM:135150
id: DOID:0050677	xref: OMIM:262000
id: DOID:0050678	xref: OMIM:186580
id: DOID:0050679	xref: OMIM:303700
id: DOID:0050680	xref: OMIM:112310
id: DOID:0050681	xref: OMIM:301900
id: DOID:0050682	xref: OMIM:601536
id: DOID:0050683	xref: OMIM:607475
id: DOID:0050684	xref: OMIM:211180
id: DOID:0050689	xref: OMIM:610713
id: DOID:0050690	xref: OMIM:113500
id: DOID:0050691	xref: OMIM:113620
id: DOID:0050692	xref: OMIM:601003
id: DOID:0050693	xref: OMIM:605041
id: DOID:0050694	xref: OMIM:211530
id: DOID:0050709	xref: OMIM:300088
id: DOID:0050710	xref: OMIM:210200
id: DOID:0050711	xref: OMIM:604290
id: DOID:0050712	xref: OMIM:612718
id: DOID:0050713	xref: OMIM:604377
id: DOID:0050715	xref: OMIM:277400
id: DOID:0050716	xref: OMIM:277410
id: DOID:0050717	xref: OMIM:277380
id: DOID:0050720	xref: OMIM:238970
id: DOID:0050722	xref: OMIM:601815
id: DOID:0050723	xref: OMIM:610992
id: DOID:0050724	xref: OMIM:614023
id: DOID:0050725	xref: OMIM:276600
id: DOID:0050726	xref: OMIM:276700
id: DOID:0050727	xref: OMIM:276710
id: DOID:0050729	xref: OMIM:275630
id: DOID:0050730	xref: OMIM:607426
id: DOID:0050734	xref: OMIM:261000
id: DOID:0050740	xref: OMIM:600096
id: DOID:0050741	xref: OMIM:103780
id: DOID:0050742	xref: OMIM:188890
id: DOID:0050747	xref: OMIM:153600
id: DOID:0050752	xref: OMIM:608627
id: DOID:0050757	xref: OMIM:304700
id: DOID:0050759	xref: OMIM:602668
id: DOID:0050763	xref: OMIM:208085
id: DOID:0050764	xref: OMIM:300261
id: DOID:0050768	xref: OMIM:604273
id: DOID:0050769	xref: OMIM:310465
id: DOID:0050770	xref: OMIM:174050
id: DOID:0050771	xref: OMIM:171300
id: DOID:0050773	xref: OMIM:116310
id: DOID:0050774	xref: OMIM:266280
id: DOID:0050775	xref: OMIM:269250
id: DOID:0050776	xref: OMIM:300046
id: DOID:0050777	xref: OMIM:213300
id: DOID:0050778	xref: OMIM:249000
id: DOID:0050779	xref: OMIM:236680
id: DOID:0050780	xref: OMIM:145410
id: DOID:0050781	xref: OMIM:300013
id: DOID:0050786	xref: OMIM:137600
id: DOID:0050787	xref: OMIM:174900
id: DOID:0050788	xref: OMIM:185800
id: DOID:0050789	xref: OMIM:186570
id: DOID:0050790	xref: OMIM:228900
id: DOID:0050791	xref: OMIM:261550
id: DOID:0050792	xref: OMIM:600195
id: DOID:0050793	xref: OMIM:609620
id: DOID:0050794	xref: OMIM:186500
id: DOID:0050795	xref: OMIM:180020
id: DOID:0050796	xref: OMIM:200450
id: DOID:0050797	xref: OMIM:264470
id: DOID:0050799	xref: OMIM:612736
id: DOID:0050800	xref: OMIM:300352
id: DOID:0050801	xref: OMIM:109200
id: DOID:0050802	xref: OMIM:615349
id: DOID:0050807	xref: OMIM:612713
id: DOID:0050809	xref: OMIM:601492
id: DOID:0050811	xref: OMIM:201710
id: DOID:0050812	xref: OMIM:612847
id: DOID:0050813	xref: OMIM:143095
id: DOID:0050814	xref: OMIM:605282
id: DOID:0050816	xref: OMIM:236730
id: DOID:0050817	xref: OMIM:248200
id: DOID:0050818	xref: OMIM:275350
id: DOID:0050819	xref: OMIM:601186
id: DOID:0050831	xref: OMIM:604218
id: DOID:0050833	xref: OMIM:258900
id: DOID:0050834	xref: OMIM:214800
id: DOID:0050835	xref: OMIM:128100
id: DOID:0050848	xref: OMIM:107650
id: DOID:0050857	xref: OMIM:233400
id: DOID:0050858	xref: OMIM:602535
id: DOID:0050867	xref: OMIM:311150
id: DOID:0050877	xref: OMIM:260370
id: DOID:0050879	xref: OMIM:300623
id: DOID:0050879	xref: OMIM:300623
id: DOID:0050880	xref: OMIM:610443
id: DOID:0050881	xref: OMIM:167320
id: DOID:0050882	xref: OMIM:600224
id: DOID:0050883	xref: OMIM:614559
id: DOID:0050884	xref: OMIM:190450
id: DOID:0050885	xref: OMIM:614732
id: DOID:0050886	xref: OMIM:275900
id: DOID:0050887	xref: OMIM:107480
id: DOID:0050888	xref: OMIM:300486
id: DOID:0050889	xref: OMIM:613192
id: DOID:0050902	xref: OMIM:155255
id: DOID:0060009	xref: OMIM:604571
id: DOID:0060013	xref: OMIM:300400
id: DOID:0060020	xref: OMIM:267500
id: DOID:0060021	xref: OMIM:606593
id: DOID:0060025	xref: OMIM:137100
id: DOID:0060055	xref: OMIM:119500
id: DOID:0060060	xref: OMIM:605027
id: DOID:0060062	xref: OMIM:162000
id: DOID:0060063	xref: OMIM:300751
id: DOID:0060064	xref: OMIM:310310
id: DOID:0060065	xref: OMIM:205950
id: DOID:0060066	xref: OMIM:206000
id: DOID:0060067	xref: OMIM:557000
id: DOID:0060161	xref: OMIM:313200
id: DOID:0060162	xref: OMIM:125370
id: DOID:0060169	xref: OMIM:601764
id: DOID:0060170	xref: OMIM:604233
id: DOID:0060171	xref: OMIM:607208
id: DOID:0060174	xref: OMIM:613163
id: DOID:0060178	xref: OMIM:141500
id: DOID:0060179	xref: OMIM:309500
id: DOID:0060180	xref: OMIM:191390
id: DOID:0060193	xref: OMIM:105400
id: DOID:0060194	xref: OMIM:205100
id: DOID:0060195	xref: OMIM:606640
id: DOID:0060196	xref: OMIM:602433
id: DOID:0060197	xref: OMIM:602099
id: DOID:0060198	xref: OMIM:608030
id: DOID:0060199	xref: OMIM:608031
id: DOID:0060200	xref: OMIM:611895
id: DOID:0060201	xref: OMIM:612069
id: DOID:0060202	xref: OMIM:612577
id: DOID:0060203	xref: OMIM:613435
id: DOID:0060204	xref: OMIM:183090
id: DOID:0060205	xref: OMIM:613954
id: DOID:0060206	xref: OMIM:300857
id: DOID:0060207	xref: OMIM:614373
id: DOID:0060208	xref: OMIM:614696
id: DOID:0060209	xref: OMIM:614808
id: DOID:0060210	xref: OMIM:615515
id: DOID:0060211	xref: OMIM:615426
id: DOID:0060212	xref: OMIM:606070
id: DOID:0060218	xref: OMIM:181750
id: DOID:0060221	xref: OMIM:614569
id: DOID:0060222	xref: OMIM:607016
id: DOID:0060225	xref: OMIM:248340
id: DOID:0060226	xref: OMIM:201180
id: DOID:0060227	xref: OMIM:100300
id: DOID:0060228	xref: OMIM:105800
id: DOID:0060229	xref: OMIM:243310
id: DOID:0060230	xref: OMIM:114100
id: DOID:0060231	xref: OMIM:259450
id: DOID:0060232	xref: OMIM:120502
id: DOID:0060233	xref: OMIM:115150
id: DOID:0060234	xref: OMIM:201000
id: DOID:0060235	xref: OMIM:255110
id: DOID:0060236	xref: OMIM:278300
id: DOID:0060237	xref: OMIM:600118
id: DOID:0060238	xref: OMIM:601390
id: DOID:0060239	xref: OMIM:119300
id: DOID:0060240	xref: OMIM:600630
id: DOID:0060241	xref: OMIM:273750
id: DOID:0060242	xref: OMIM:186000
id: DOID:0060243	xref: OMIM:184450
id: DOID:0060244	xref: OMIM:606711
id: DOID:0060245	xref: OMIM:248900
id: DOID:0060246	xref: OMIM:303350
id: DOID:0060247	xref: OMIM:607326
id: DOID:0060248	xref: OMIM:300209
id: DOID:0060250	xref: OMIM:181800
id: DOID:0060251	xref: OMIM:269500
id: DOID:0060252	xref: OMIM:181700
id: DOID:0060253	xref: OMIM:181430
id: DOID:0060254	xref: OMIM:180700
id: DOID:0060255	xref: OMIM:600332
id: DOID:0060256	xref: OMIM:179850
id: DOID:0060257	xref: OMIM:127400
id: DOID:0060258	xref: OMIM:615537
id: DOID:0060259	xref: OMIM:208540
id: DOID:0060261	xref: OMIM:178300
id: DOID:0060262	xref: OMIM:609918
id: DOID:0060263	xref: OMIM:175780
id: DOID:0060265	xref: OMIM:607596
id: DOID:0060266	xref: OMIM:614678
id: DOID:0060267	xref: OMIM:277470
id: DOID:0060268	xref: OMIM:612389
id: DOID:0060269	xref: OMIM:612390
id: DOID:0060270	xref: OMIM:613811
id: DOID:0060271	xref: OMIM:615851
id: DOID:0060272	xref: OMIM:608027
id: DOID:0060273	xref: OMIM:225753
id: DOID:0060274	xref: OMIM:610204
id: DOID:0060275	xref: OMIM:611523
id: DOID:0060276	xref: OMIM:614969
id: DOID:0060277	xref: OMIM:614961
id: DOID:0060278	xref: OMIM:615809
id: DOID:0060279	xref: OMIM:615803
id: DOID:0060280	xref: OMIM:610475
id: DOID:0060281	xref: OMIM:132100
id: DOID:0060282	xref: OMIM:221900
id: DOID:0060283	xref: OMIM:270300
id: DOID:0060284	xref: OMIM:300818
id: DOID:0060285	xref: OMIM:168500
id: DOID:0060286	xref: OMIM:300816
id: DOID:0060287	xref: OMIM:121400
id: DOID:0060288	xref: OMIM:164745
id: DOID:0060289	xref: OMIM:249620
id: DOID:0060290	xref: OMIM:603736
id: DOID:0060291	xref: OMIM:164200
id: DOID:0060292	xref: OMIM:302950
id: DOID:0060293	xref: OMIM:118650
id: DOID:0060294	xref: OMIM:242730
id: DOID:0060295	xref: OMIM:217000
id: DOID:0060296	xref: OMIM:214700
id: DOID:0060297	xref: OMIM:614380
id: DOID:0060298	xref: OMIM:614379
id: DOID:0060299	xref: OMIM:612446
id: DOID:0060300	xref: OMIM:610102
id: DOID:0060301	xref: OMIM:613790
id: DOID:0060302	xref: OMIM:613789
id: DOID:0060303	xref: OMIM:613825
id: DOID:0060304	xref: OMIM:127500
id: DOID:0060305	xref: OMIM:249300
id: DOID:0060306	xref: OMIM:224690
id: DOID:0060307	xref: OMIM:156200
id: DOID:0060308	xref: OMIM:249500
id: DOID:0060309	xref: OMIM:300055
id: DOID:0080021	xref: OMIM:156500
id: DOID:0080026	xref: OMIM:215150
id: DOID:0080028	xref: OMIM:184250
id: DOID:0080030	xref: OMIM:602111
id: DOID:0080033	xref: OMIM:122860
id: DOID:0080046	xref: OMIM:108300
id: DOID:0080047	xref: OMIM:177170
id: DOID:0080050	xref: OMIM:602875
id: DOID:0080051	xref: OMIM:201250
id: DOID:0080052	xref: OMIM:200700
id: DOID:0080053	xref: OMIM:103580
id: DOID:0080054	xref: OMIM:200600
id: DOID:0080055	xref: OMIM:600972
id: DOID:0080056	xref: OMIM:200610
id: DOID:10003	xref: OMIM:304400
id: DOID:10016	xref: OMIM:162300
id: DOID:10017	xref: OMIM:131100
id: DOID:10024	xref: OMIM:609179
id: DOID:10041	xref: OMIM:155600
id: DOID:10122	xref: OMIM:145100
id: DOID:10126	xref: OMIM:148300
id: DOID:1024	xref: OMIM:246300
id: DOID:10241	xref: OMIM:604131
id: DOID:10283	xref: OMIM:176807
id: DOID:10300	xref: OMIM:179600
id: DOID:10383	xref: OMIM:162100
id: DOID:1040	xref: OMIM:109543
id: DOID:10426	xref: OMIM:118100
id: DOID:10487	xref: OMIM:142623
id: DOID:10488	xref: OMIM:207500
id: DOID:10534	xref: OMIM:137215
id: DOID:1056	xref: OMIM:309000
id: DOID:10581	xref: OMIM:249900
id: DOID:10582	xref: OMIM:266500
id: DOID:10584	xref: OMIM:120970
id: DOID:10587	xref: OMIM:245200
id: DOID:10588	xref: OMIM:202370
id: DOID:10591	xref: OMIM:189800
id: DOID:1060	xref: OMIM:234500
id: DOID:10604	xref: OMIM:223100
id: DOID:10608	xref: OMIM:212750
id: DOID:10609	xref: OMIM:264700
id: DOID:10611	xref: OMIM:226300
id: DOID:1062	xref: OMIM:134600
id: DOID:10629	xref: OMIM:206900
id: DOID:10632	xref: OMIM:222300
id: DOID:1064	xref: OMIM:219800
id: DOID:10652	xref: OMIM:104300
id: DOID:1067	xref: OMIM:137750
id: DOID:1070	xref: OMIM:137760
id: DOID:10825	xref: OMIM:145500
id: DOID:10871	xref: OMIM:153800
id: DOID:10892	xref: OMIM:146450
id: DOID:10907	xref: OMIM:251200
id: DOID:10908	xref: OMIM:123155
id: DOID:10908	xref: OMIM:123155
id: DOID:10915	xref: OMIM:277730
id: DOID:10923	xref: OMIM:603903
id: DOID:1094	xref: OMIM:143465
id: DOID:10970	xref: OMIM:603513
id: DOID:10983	xref: OMIM:104200
id: DOID:1099	xref: OMIM:141750
id: DOID:10992	xref: OMIM:606752
id: DOID:11042	xref: OMIM:134750
id: DOID:11044	xref: OMIM:230750
id: DOID:11054	xref: OMIM:109800
id: DOID:11105	xref: OMIM:136880
id: DOID:11119	xref: OMIM:137580
id: DOID:11156	xref: OMIM:206600
id: DOID:11164	xref: OMIM:217500
id: DOID:11193	xref: OMIM:185900
id: DOID:11198	xref: OMIM:188400
id: DOID:11199	xref: OMIM:146200
id: DOID:11199	xref: OMIM:146200
id: DOID:11202	xref: OMIM:600166
id: DOID:11211	xref: OMIM:231300
id: DOID:1123	xref: OMIM:106300
id: DOID:11252	xref: OMIM:206200
id: DOID:11329	xref: OMIM:103400
id: DOID:11335	xref: OMIM:181000
id: DOID:11342	xref: OMIM:107800
id: DOID:11353	xref: OMIM:109820
id: DOID:11367	xref: OMIM:610256
id: DOID:11383	xref: OMIM:219050
id: DOID:11459	xref: OMIM:243200
id: DOID:11459	xref: OMIM:243200
id: DOID:11476	xref: OMIM:166710
id: DOID:1148	xref: OMIM:174200
id: DOID:11514	xref: OMIM:137400
id: DOID:11549	xref: OMIM:103100
id: DOID:11555	xref: OMIM:136800
id: DOID:1156	xref: OMIM:118600
id: DOID:11589	xref: OMIM:223900
id: DOID:11599	xref: OMIM:144100
id: DOID:11612	xref: OMIM:184700
id: DOID:11633	xref: OMIM:188570
id: DOID:11634	xref: OMIM:255900
id: DOID:11661	xref: OMIM:190900
id: DOID:1171	xref: OMIM:144650
id: DOID:11719	xref: OMIM:164300
id: DOID:11719	xref: OMIM:164300
id: DOID:1172	xref: OMIM:144600
id: DOID:11720	xref: OMIM:160300
id: DOID:11721	xref: OMIM:232800
id: DOID:11722	xref: OMIM:160900
id: DOID:11723	xref: OMIM:310200
id: DOID:11724	xref: OMIM:159000
id: DOID:11725	xref: OMIM:122470
id: DOID:11726	xref: OMIM:181350
id: DOID:11727	xref: OMIM:158900
id: DOID:11782	xref: OMIM:603047
id: DOID:11819	xref: OMIM:191600
id: DOID:11830	xref: OMIM:160700
id: DOID:11836	xref: OMIM:119800
id: DOID:1184	xref: OMIM:256300
id: DOID:11870	xref: OMIM:172700
id: DOID:11949	xref: OMIM:123400
id: DOID:11975	xref: OMIM:120430
id: DOID:11983	xref: OMIM:176270
id: DOID:11984	xref: OMIM:115195
id: DOID:11984	xref: OMIM:115195
id: DOID:11996	xref: OMIM:187400
id: DOID:1206	xref: OMIM:312750
id: DOID:12098	xref: OMIM:190400
id: DOID:12117	xref: OMIM:265100
id: DOID:12120	xref: OMIM:265120
id: DOID:12129	xref: OMIM:607499
id: DOID:12132	xref: OMIM:608710
id: DOID:12132	xref: OMIM:608710
id: DOID:12134	xref: OMIM:134500
id: DOID:12169	xref: OMIM:115430
id: DOID:12177	xref: OMIM:240500
id: DOID:12185	xref: OMIM:166800
id: DOID:12217	xref: OMIM:127750
id: DOID:12217	xref: OMIM:127750
id: DOID:12236	xref: OMIM:109720
id: DOID:12236	xref: OMIM:109720
id: DOID:12241	xref: OMIM:187550
id: DOID:12259	xref: OMIM:306900
id: DOID:12270	xref: OMIM:120200
id: DOID:12271	xref: OMIM:106210
id: DOID:12305	xref: OMIM:308300
id: DOID:12306	xref: OMIM:193200
id: DOID:12308	xref: OMIM:237500
id: DOID:12309	xref: OMIM:154800
id: DOID:12347	xref: OMIM:166200
id: DOID:12361	xref: OMIM:275000
id: DOID:12361	xref: OMIM:275000
